,Module,Average time/event (ms) at 100 events
0,event ,8484.56
1,explicit ,8989.13
2,overhead ,635.29
3,process RECO ,8484.56
4,source ,0.26
5,DQMoutput ,0.25
6,DQMoutput_step ,0.25
7,MC_Dqmoffline_v2 ,0.25
8,MC_Tracking_v2 ,0.25
9,MC_prevalidation_v2 ,0.25
10,MC_validation_v2 ,0.25
11,MeasurementTrackerEvent ,16.8
12,PV0p1 ,0.75
13,TrackMon_ckf ,0.25
14,TrackSeedMonhighPtTripletStep ,13.59
15,TrackSeedMoninitialStep ,40.5
16,TrackSplitMonitor ,42.3
17,TrackerCollisionSelectedTrackMonCommongeneralTracks ,643.38
18,TrackerCollisionSelectedTrackMonCommonhighPurityPV0p1 ,27.3
19,TrackerCollisionSelectedTrackMonCommonhighPurityPt1 ,190.57
20,TrackerCollisionSelectedTrackMonCommonhighPurityPtRange0to1 ,392.79
21,TriggerResults ,0.25
22,VertexAssociatorByPositionAndTracks ,0.25
23,ak4CaloJetsForTrk ,4.78
24,bunchSpacingProducer ,0.25
25,caloTowerForTrk ,4.85
26,cutsRecoTracksBtvLike ,1.49
27,cutsRecoTracksFromPVHighPtTripletStep ,0.25
28,cutsRecoTracksFromPVHighPtTripletStepHp ,0.25
29,cutsRecoTracksFromPVHp ,0.25
30,cutsRecoTracksFromPVInitialStep ,0.25
31,cutsRecoTracksFromPVInitialStepHp ,0.25
32,cutsRecoTracksFromPVPt09HighPtTripletStep ,0.25
33,cutsRecoTracksFromPVPt09HighPtTripletStepHp ,0.25
34,cutsRecoTracksFromPVPt09Hp ,0.25
35,cutsRecoTracksFromPVPt09InitialStep ,0.25
36,cutsRecoTracksFromPVPt09InitialStepHp ,0.25
37,cutsRecoTracksHighPtTripletStep ,0.75
38,cutsRecoTracksHighPtTripletStepByAlgoMask ,0.75
39,cutsRecoTracksHighPtTripletStepByAlgoMaskHp ,0.75
40,cutsRecoTracksHighPtTripletStepByOriginalAlgo ,0.75
41,cutsRecoTracksHighPtTripletStepByOriginalAlgoHp ,0.74
42,cutsRecoTracksHighPtTripletStepHp ,0.74
43,cutsRecoTracksHp ,1.91
44,cutsRecoTracksInitialStep ,1.51
45,cutsRecoTracksInitialStepByAlgoMask ,1.51
46,cutsRecoTracksInitialStepByAlgoMaskHp ,1.51
47,cutsRecoTracksInitialStepByOriginalAlgo ,1.51
48,cutsRecoTracksInitialStepByOriginalAlgoHp ,1.5
49,cutsRecoTracksInitialStepHp ,1.51
50,cutsRecoTracksPt09HighPtTripletStep ,0.27
51,cutsRecoTracksPt09HighPtTripletStepHp ,0.26
52,cutsRecoTracksPt09Hp ,0.8
53,cutsRecoTracksPt09InitialStep ,0.76
54,cutsRecoTracksPt09InitialStepHp ,0.76
55,dqmInfoTracking ,0.25
56,ecalDetIdToBeRecovered ,0.25
57,ecalDigis ,1.42
58,ecalMultiFitUncalibRecHit ,108.03
59,ecalRecHit ,52.13
60,firstStepPrimaryVertices ,24.05
61,firstStepPrimaryVerticesUnsorted ,488.27
62,generalTracks ,133.59
63,generalTracksFromPV ,1.34
64,generalTracksFromPVPt09 ,0.25
65,generalTracksPt09 ,1.54
66,hbhereco ,95.61
67,hcalDigis ,1.76
68,hfprereco ,1.25
69,hfreco ,0.75
70,highPtTripletStepClusters ,0.74
71,highPtTripletStepHitDoublets ,40.31
72,highPtTripletStepHitTriplets ,144.62
73,highPtTripletStepSeedClusterMask ,0.25
74,highPtTripletStepSeedLayers ,1.79
75,highPtTripletStepSeeds ,22.48
76,highPtTripletStepSelector ,1.97
