,Module,Average time/event (ms) at 100 events
0,event ,10000.0
1,explicit ,10000.0
2,overhead ,919.33
3,process RECO ,10000.0
4,source ,0.26
5,DQMoutput ,0.25
6,DQMoutput_step ,0.25
7,MC_Dqmoffline_v2 ,0.25
8,MC_Tracking_v2 ,0.25
9,MC_prevalidation_v2 ,0.25
10,MC_validation_v2 ,0.25
11,MeasurementTrackerEvent ,17.02
12,PV0p1 ,1.05
13,TrackMon_ckf ,0.25
14,TrackSeedMonhighPtTripletStep ,24.05
15,TrackSeedMoninitialStep ,57.7
16,TrackSplitMonitor ,42.66
17,TrackerCollisionSelectedTrackMonCommongeneralTracks ,954.64
18,TrackerCollisionSelectedTrackMonCommonhighPurityPV0p1 ,30.8
19,TrackerCollisionSelectedTrackMonCommonhighPurityPt1 ,270.33
20,TrackerCollisionSelectedTrackMonCommonhighPurityPtRange0to1 ,565.23
21,TriggerResults ,0.25
22,VertexAssociatorByPositionAndTracks ,0.25
23,ak4CaloJetsForTrk ,4.88
24,bunchSpacingProducer ,0.25
25,caloTowerForTrk ,5.05
26,cutsRecoTracksBtvLike ,2.23
27,cutsRecoTracksFromPVHighPtTripletStep ,0.25
28,cutsRecoTracksFromPVHighPtTripletStepHp ,0.25
29,cutsRecoTracksFromPVHp ,0.25
30,cutsRecoTracksFromPVInitialStep ,0.25
31,cutsRecoTracksFromPVInitialStepHp ,0.25
32,cutsRecoTracksFromPVPt09HighPtTripletStep ,0.25
33,cutsRecoTracksFromPVPt09HighPtTripletStepHp ,0.25
34,cutsRecoTracksFromPVPt09Hp ,0.25
35,cutsRecoTracksFromPVPt09InitialStep ,0.25
36,cutsRecoTracksFromPVPt09InitialStepHp ,0.25
37,cutsRecoTracksHighPtTripletStep ,1.18
38,cutsRecoTracksHighPtTripletStepByAlgoMask ,1.18
39,cutsRecoTracksHighPtTripletStepByAlgoMaskHp ,0.94
40,cutsRecoTracksHighPtTripletStepByOriginalAlgo ,1.18
41,cutsRecoTracksHighPtTripletStepByOriginalAlgoHp ,0.92
42,cutsRecoTracksHighPtTripletStepHp ,0.93
43,cutsRecoTracksHp ,2.74
44,cutsRecoTracksInitialStep ,2.19
45,cutsRecoTracksInitialStepByAlgoMask ,2.19
46,cutsRecoTracksInitialStepByAlgoMaskHp ,2.19
47,cutsRecoTracksInitialStepByOriginalAlgo ,2.21
48,cutsRecoTracksInitialStepByOriginalAlgoHp ,2.19
49,cutsRecoTracksInitialStepHp ,2.2
50,cutsRecoTracksPt09HighPtTripletStep ,0.7
51,cutsRecoTracksPt09HighPtTripletStepHp ,0.57
52,cutsRecoTracksPt09Hp ,1.22
53,cutsRecoTracksPt09InitialStep ,1.04
54,cutsRecoTracksPt09InitialStepHp ,1.02
55,dqmInfoTracking ,0.25
56,ecalDetIdToBeRecovered ,0.25
57,ecalDigis ,1.78
58,ecalMultiFitUncalibRecHit ,147.49
59,ecalRecHit ,52.12
60,firstStepPrimaryVertices ,46.0
61,firstStepPrimaryVerticesUnsorted ,931.25
62,generalTracks ,327.76
63,generalTracksFromPV ,2.04
64,generalTracksFromPVPt09 ,0.25
65,generalTracksPt09 ,2.33
66,hbhereco ,97.6
67,hcalDigis ,1.77
68,hfprereco ,1.25
69,hfreco ,0.85
70,highPtTripletStepClusters ,1.01
71,highPtTripletStepHitDoublets ,70.79
72,highPtTripletStepHitTriplets ,368.76
73,highPtTripletStepSeedClusterMask ,0.25
74,highPtTripletStepSeedLayers ,2.52
75,highPtTripletStepSeeds ,43.38
76,highPtTripletStepSelector ,3.58
77,highPtTripletStepTrackCandidates ,831.16
78,highPtTripletStepTrackingRegions ,0.25
79,highPtTripletStepTracks ,252.69
80,highPurityPV0p1 ,1.25
81,highPurityPt1 ,0.74
82,highPurityPtRange0to1 ,1.23
83,horeco ,0.25
84,inclusiveSecondaryVertices ,0.25
85,inclusiveVertexFinder ,0.25
86,initialStepHitDoublets ,75.06
87,initialStepHitQuadruplets ,355.04
88,initialStepSeedClusterMask ,0.25
89,initialStepSeedLayers ,0.76
90,initialStepSeeds ,176.78
91,initialStepSelector ,6.47
92,initialStepTrackCandidates ,1716.86
93,initialStepTrackRefsForJets ,1.24
94,initialStepTrackingRegions ,0.25
95,initialStepTracks ,454.66
96,muonCSCDigis ,0.25
97,muonDTDigis ,0.25
98,muonGEMDigis ,0.25
99,muonRPCDigis ,0.25
100,muonRPCNewDigis ,0.25
101,offlineBeamSpot ,1.14
102,offlinePrimaryVertices ,73.29
103,offlinePrimaryVerticesWithBS ,73.52
104,primaryVertexResolution ,117.44
105,pvMonitor ,0.75
106,quickTrackAssociatorByHits ,0.25
107,quickTrackAssociatorByHitsPreSplitting ,0.25
108,raw2digi_step ,0.25
109,scalersRawToDigi ,0.25
110,seedTrackshighPtTripletStepSeeds ,20.32
111,seedTracksinitialStepSeeds ,79.33
112,selectedOfflinePrimaryVertices ,0.27
113,selectedOfflinePrimaryVerticesWithBS ,0.25
114,siPhase2Clusters ,4.97
115,siPixelClusterShapeCache ,20.57
116,siPixelClusters ,53.51
117,siPixelClustersPreSplitting ,52.9
118,siPixelRecHits ,36.41
119,siPixelRecHitsPreSplitting ,0.25
120,simHitTPAssocProducer ,87.6
121,tpClusterProducer ,694.89
122,tpClusterProducerPreSplitting ,0.25
123,trackRefsForJetsBeforeSorting ,1.8
124,trackValidatorAllTPEfficStandalone ,702.57
125,trackValidatorBHadronTrackingOnly ,37.88
126,trackValidatorBuilding ,235.91
127,trackValidatorBuildingPreSplitting ,0.25
128,trackValidatorFromPVAllTPStandalone ,103.28
129,trackValidatorFromPVStandalone ,19.63
130,trackValidatorSeedingPreSplittingTrackingOnly ,0.25
131,trackValidatorSeedingTrackingOnly ,863.26
132,trackValidatorTPPtLess09Standalone ,155.79
133,trackValidatorTrackingOnly ,1038.27
134,trackVertexArbitrator ,0.25
135,trackWithVertexRefSelectorBeforeSorting ,2.21
136,trackerClusterCheck ,0.25
137,trackingDQMgoodOfflinePrimaryVertices ,0.25
138,trackingParticleNumberOfLayersProducer ,51.68
139,trackingParticleRecoTrackAsssociation ,50.24
140,trackingParticlesBHadron ,196.16
141,trackingParticlesConversion ,0.25
142,trackingParticlesElectron ,0.25
143,trackingParticlesSignal ,6.42
144,unsortedOfflinePrimaryVertices ,2017.74
145,v0Validator ,0.25
146,vertexAnalysisTrackingOnly ,60.75
147,vertexMerger ,0.25
