,Module,Average time/event (ms) at 100 events
0,event ,607.39
1,explicit ,620.7
2,overhead ,15.22
3,process RECO ,607.39
4,source ,0.25
5,DQMoutput ,0.25
6,DQMoutput_step ,0.25
7,MC_Dqmoffline_v2 ,0.25
8,MC_Tracking_v2 ,0.25
9,MC_prevalidation_v2 ,0.25
10,MC_validation_v2 ,0.25
11,MeasurementTrackerEvent ,16.85
12,PV0p1 ,0.25
13,TrackMon_ckf ,0.25
14,TrackSeedMonhighPtTripletStep ,0.38
15,TrackSeedMoninitialStep ,1.27
16,TrackSplitMonitor ,43.13
17,TrackerCollisionSelectedTrackMonCommongeneralTracks ,21.5
18,TrackerCollisionSelectedTrackMonCommonhighPurityPV0p1 ,17.66
19,TrackerCollisionSelectedTrackMonCommonhighPurityPt1 ,12.46
20,TrackerCollisionSelectedTrackMonCommonhighPurityPtRange0to1 ,9.1
21,TriggerResults ,0.25
22,VertexAssociatorByPositionAndTracks ,0.25
23,ak4CaloJetsForTrk ,3.76
24,bunchSpacingProducer ,0.25
25,caloTowerForTrk ,3.94
26,cutsRecoTracksBtvLike ,0.25
27,cutsRecoTracksFromPVHighPtTripletStep ,0.25
28,cutsRecoTracksFromPVHighPtTripletStepHp ,0.25
29,cutsRecoTracksFromPVHp ,0.25
30,cutsRecoTracksFromPVInitialStep ,0.25
31,cutsRecoTracksFromPVInitialStepHp ,0.25
32,cutsRecoTracksFromPVPt09HighPtTripletStep ,0.25
33,cutsRecoTracksFromPVPt09HighPtTripletStepHp ,0.25
34,cutsRecoTracksFromPVPt09Hp ,0.25
35,cutsRecoTracksFromPVPt09InitialStep ,0.25
36,cutsRecoTracksFromPVPt09InitialStepHp ,0.25
37,cutsRecoTracksHighPtTripletStep ,0.25
38,cutsRecoTracksHighPtTripletStepByAlgoMask ,0.25
39,cutsRecoTracksHighPtTripletStepByAlgoMaskHp ,0.25
40,cutsRecoTracksHighPtTripletStepByOriginalAlgo ,0.25
41,cutsRecoTracksHighPtTripletStepByOriginalAlgoHp ,0.25
42,cutsRecoTracksHighPtTripletStepHp ,0.25
43,cutsRecoTracksHp ,0.25
44,cutsRecoTracksInitialStep ,0.25
45,cutsRecoTracksInitialStepByAlgoMask ,0.25
46,cutsRecoTracksInitialStepByAlgoMaskHp ,0.25
47,cutsRecoTracksInitialStepByOriginalAlgo ,0.25
48,cutsRecoTracksInitialStepByOriginalAlgoHp ,0.25
49,cutsRecoTracksInitialStepHp ,0.25
50,cutsRecoTracksPt09HighPtTripletStep ,0.25
51,cutsRecoTracksPt09HighPtTripletStepHp ,0.25
52,cutsRecoTracksPt09Hp ,0.25
53,cutsRecoTracksPt09InitialStep ,0.25
54,cutsRecoTracksPt09InitialStepHp ,0.25
55,dqmInfoTracking ,0.25
56,ecalDetIdToBeRecovered ,0.25
57,ecalDigis ,1.0
58,ecalMultiFitUncalibRecHit ,36.85
59,ecalRecHit ,51.02
60,firstStepPrimaryVertices ,0.26
61,firstStepPrimaryVerticesUnsorted ,3.0
62,generalTracks ,0.36
63,generalTracksFromPV ,0.25
64,generalTracksFromPVPt09 ,0.25
65,generalTracksPt09 ,0.25
66,hbhereco ,92.59
67,hcalDigis ,1.77
68,hfprereco ,1.18
69,hfreco ,0.28
70,highPtTripletStepClusters ,0.25
71,highPtTripletStepHitDoublets ,0.53
72,highPtTripletStepHitTriplets ,0.25
73,highPtTripletStepSeedClusterMask ,0.25
74,highPtTripletStepSeedLayers ,0.25
75,highPtTripletStepSeeds ,0.34
76,highPtTripletStepSelector ,0.25
77,highPtTripletStepTrackCandidates ,9.58
78,highPtTripletStepTrackingRegions ,0.25
79,highPtTripletStepTracks ,2.69
80,highPurityPV0p1 ,0.25
81,highPurityPt1 ,0.25
82,highPurityPtRange0to1 ,0.25
83,horeco ,0.25
84,inclusiveSecondaryVertices ,0.25
85,inclusiveVertexFinder ,0.25
86,initialStepHitDoublets ,0.79
87,initialStepHitQuadruplets ,0.94
88,initialStepSeedClusterMask ,0.25
89,initialStepSeedLayers ,0.25
90,initialStepSeeds ,3.65
91,initialStepSelector ,0.25
92,initialStepTrackCandidates ,31.93
93,initialStepTrackRefsForJets ,0.25
94,initialStepTrackingRegions ,0.25
95,initialStepTracks ,101.93
96,muonCSCDigis ,0.25
97,muonDTDigis ,0.25
98,muonGEMDigis ,0.25
99,muonRPCDigis ,0.25
100,muonRPCNewDigis ,0.25
101,offlineBeamSpot ,1.15
102,offlinePrimaryVertices ,0.25
103,offlinePrimaryVerticesWithBS ,0.25
104,primaryVertexResolution ,3.31
105,pvMonitor ,0.25
106,quickTrackAssociatorByHits ,0.25
107,quickTrackAssociatorByHitsPreSplitting ,0.25
108,raw2digi_step ,0.25
109,scalersRawToDigi ,0.25
110,seedTrackshighPtTripletStepSeeds ,0.25
111,seedTracksinitialStepSeeds ,1.35
112,selectedOfflinePrimaryVertices ,0.25
113,selectedOfflinePrimaryVerticesWithBS ,0.25
114,siPhase2Clusters ,0.26
115,siPixelClusterShapeCache ,0.38
116,siPixelClusters ,1.16
117,siPixelClustersPreSplitting ,1.21
118,siPixelRecHits ,0.68
119,siPixelRecHitsPreSplitting ,0.25
120,simHitTPAssocProducer ,1.62
121,tpClusterProducer ,4.57
122,tpClusterProducerPreSplitting ,0.25
123,trackRefsForJetsBeforeSorting ,0.25
124,trackValidatorAllTPEfficStandalone ,9.54
125,trackValidatorBHadronTrackingOnly ,0.92
126,trackValidatorBuilding ,3.13
127,trackValidatorBuildingPreSplitting ,0.25
128,trackValidatorFromPVAllTPStandalone ,6.71
129,trackValidatorFromPVStandalone ,12.68
130,trackValidatorSeedingPreSplittingTrackingOnly ,0.25
131,trackValidatorSeedingTrackingOnly ,8.58
132,trackValidatorTPPtLess09Standalone ,5.5
133,trackValidatorTrackingOnly ,21.3
134,trackVertexArbitrator ,0.25
135,trackWithVertexRefSelectorBeforeSorting ,0.25
136,trackerClusterCheck ,0.25
137,trackingDQMgoodOfflinePrimaryVertices ,0.25
138,trackingParticleNumberOfLayersProducer ,4.42
139,trackingParticleRecoTrackAsssociation ,0.81
140,trackingParticlesBHadron ,155.79
141,trackingParticlesConversion ,0.25
142,trackingParticlesElectron ,0.25
143,trackingParticlesSignal ,0.25
144,unsortedOfflinePrimaryVertices ,7.22
145,v0Validator ,0.25
146,vertexAnalysisTrackingOnly ,1.52
147,vertexMerger ,0.25
