,Module,Average time/event (ms) at 100 events,Std (ms) at 100 events
0,event ,1746.2,4427.37
1,explicit ,1834.0,4489.74
2,overhead ,437.55,5785.99
3,process RECO ,1746.2,4427.37
4,source ,2.08,14.66
5,DQMoutput ,0.1,1.37
6,DQMoutput_step ,0.01,0.05
7,MC_Dqmoffline_v2 ,0.01,0.07
8,MC_Tracking_v2 ,0.0,0.06
9,MC_prevalidation_v2 ,0.0,0.06
10,MC_validation_v2 ,0.0,0.06
11,MeasurementTrackerEvent ,3.49,32.68
12,PV0p1 ,0.12,0.5
13,TrackMon_ckf ,1.59,17.16
14,TrackSeedMonhighPtTripletStep ,1.4,3.99
15,TrackSeedMoninitialStep ,4.65,10.85
16,TrackSplitMonitor ,1.56,14.45
17,TrackerCollisionSelectedTrackMonCommongeneralTracks ,51.34,38.67
18,TrackerCollisionSelectedTrackMonCommonhighPurityPV0p1 ,42.42,22.8
19,TrackerCollisionSelectedTrackMonCommonhighPurityPt1 ,31.93,13.38
20,TrackerCollisionSelectedTrackMonCommonhighPurityPtRange0to1 ,20.9,11.68
21,TriggerResults ,0.03,0.05
22,VertexAssociatorByPositionAndTracks ,0.48,3.93
23,ak4CaloJetsForTrk ,13.42,40.16
24,bunchSpacingProducer ,1.04,20.18
25,caloTowerForTrk ,13.86,40.39
26,cutsRecoTracksBtvLike ,1.34,11.13
27,cutsRecoTracksFromPVHighPtTripletStep ,0.07,0.07
28,cutsRecoTracksFromPVHighPtTripletStepHp ,0.07,0.05
29,cutsRecoTracksFromPVHp ,0.16,0.11
30,cutsRecoTracksFromPVInitialStep ,0.13,0.09
31,cutsRecoTracksFromPVInitialStepHp ,0.13,0.08
32,cutsRecoTracksFromPVPt09HighPtTripletStep ,0.05,0.06
33,cutsRecoTracksFromPVPt09HighPtTripletStepHp ,0.05,0.05
34,cutsRecoTracksFromPVPt09Hp ,0.11,0.08
35,cutsRecoTracksFromPVPt09InitialStep ,0.15,0.59
36,cutsRecoTracksFromPVPt09InitialStepHp ,0.1,0.08
37,cutsRecoTracksHighPtTripletStep ,0.07,0.05
38,cutsRecoTracksHighPtTripletStepByAlgoMask ,0.07,0.08
39,cutsRecoTracksHighPtTripletStepByAlgoMaskHp ,0.07,0.05
40,cutsRecoTracksHighPtTripletStepByOriginalAlgo ,0.06,0.06
41,cutsRecoTracksHighPtTripletStepByOriginalAlgoHp ,0.07,0.06
42,cutsRecoTracksHighPtTripletStepHp ,0.06,0.06
43,cutsRecoTracksHp ,0.2,0.14
44,cutsRecoTracksInitialStep ,0.14,0.09
45,cutsRecoTracksInitialStepByAlgoMask ,0.27,0.81
46,cutsRecoTracksInitialStepByAlgoMaskHp ,0.15,0.12
47,cutsRecoTracksInitialStepByOriginalAlgo ,0.13,0.08
48,cutsRecoTracksInitialStepByOriginalAlgoHp ,0.14,0.08
49,cutsRecoTracksInitialStepHp ,0.14,0.07
50,cutsRecoTracksPt09HighPtTripletStep ,0.06,0.06
