,Module,Average time/event (ms) at 100 events,Std (ms) at 100 events
0,event ,3830.24,14997.81
1,explicit ,4668.9,17784.04
2,overhead ,1274.4,5820.55
3,process RECO ,3830.24,14997.81
4,source ,21.32,912.44
5,DQMoutput ,0.25,0.0
6,DQMoutput_step ,0.25,0.0
7,MC_Dqmoffline_v2 ,0.25,0.0
8,MC_Tracking_v2 ,0.25,0.0
9,MC_prevalidation_v2 ,0.25,0.0
10,MC_validation_v2 ,0.25,0.0
11,MeasurementTrackerEvent ,10.29,428.87
12,PV0p1 ,0.25,0.0
13,TrackMon_ckf ,0.27,11.5
14,TrackSeedMonhighPtTripletStep ,0.83,20.32
15,TrackSeedMoninitialStep ,2.54,18.19
16,TrackSplitMonitor ,10.25,487.63
17,TrackerCollisionSelectedTrackMonCommongeneralTracks ,38.8,40.13
18,TrackerCollisionSelectedTrackMonCommonhighPurityPV0p1 ,32.44,31.52
19,TrackerCollisionSelectedTrackMonCommonhighPurityPt1 ,24.52,30.0
20,TrackerCollisionSelectedTrackMonCommonhighPurityPtRange0to1 ,15.79,25.46
21,TriggerResults ,0.25,0.0
22,VertexAssociatorByPositionAndTracks ,0.25,0.0
23,ak4CaloJetsForTrk ,6.99,115.16
24,bunchSpacingProducer ,0.25,0.0
25,caloTowerForTrk ,8.27,94.51
26,cutsRecoTracksBtvLike ,0.25,0.0
27,cutsRecoTracksFromPVHighPtTripletStep ,0.25,0.0
28,cutsRecoTracksFromPVHighPtTripletStepHp ,0.25,0.0
29,cutsRecoTracksFromPVHp ,0.25,0.0
30,cutsRecoTracksFromPVInitialStep ,0.25,0.0
31,cutsRecoTracksFromPVInitialStepHp ,0.25,0.0
32,cutsRecoTracksFromPVPt09HighPtTripletStep ,0.25,0.0
33,cutsRecoTracksFromPVPt09HighPtTripletStepHp ,0.25,0.0
34,cutsRecoTracksFromPVPt09Hp ,0.25,0.0
35,cutsRecoTracksFromPVPt09InitialStep ,0.25,0.0
36,cutsRecoTracksFromPVPt09InitialStepHp ,0.25,0.0
37,cutsRecoTracksHighPtTripletStep ,0.25,0.0
38,cutsRecoTracksHighPtTripletStepByAlgoMask ,0.25,0.0
39,cutsRecoTracksHighPtTripletStepByAlgoMaskHp ,0.25,0.0
40,cutsRecoTracksHighPtTripletStepByOriginalAlgo ,0.25,0.0
41,cutsRecoTracksHighPtTripletStepByOriginalAlgoHp ,0.25,0.0
42,cutsRecoTracksHighPtTripletStepHp ,0.25,0.0
43,cutsRecoTracksHp ,0.25,0.0
44,cutsRecoTracksInitialStep ,0.25,0.0
45,cutsRecoTracksInitialStepByAlgoMask ,0.25,0.0
46,cutsRecoTracksInitialStepByAlgoMaskHp ,0.25,0.0
47,cutsRecoTracksInitialStepByOriginalAlgo ,0.25,0.0
48,cutsRecoTracksInitialStepByOriginalAlgoHp ,0.25,0.0
49,cutsRecoTracksInitialStepHp ,0.25,0.0
50,cutsRecoTracksPt09HighPtTripletStep ,0.25,0.0
51,cutsRecoTracksPt09HighPtTripletStepHp ,0.25,0.0
52,cutsRecoTracksPt09Hp ,0.25,0.0
53,cutsRecoTracksPt09InitialStep ,0.25,0.0
54,cutsRecoTracksPt09InitialStepHp ,0.25,0.0
55,dqmInfoTracking ,0.25,0.0
56,ecalDetIdToBeRecovered ,0.26,12.0
57,ecalDigis ,3.44,49.15
58,ecalMultiFitUncalibRecHit ,59.13,296.53
59,ecalRecHit ,41.21,1714.95
60,firstStepPrimaryVertices ,0.28,10.76
61,firstStepPrimaryVerticesUnsorted ,25.47,462.88
62,generalTracks ,0.88,15.9
63,generalTracksFromPV ,0.25,0.0
64,generalTracksFromPVPt09 ,0.25,0.0
65,generalTracksPt09 ,0.25,0.0
66,hbhereco ,183.94,689.94
67,hcalDigis ,3.32,74.65
68,hfprereco ,2.25,81.86
69,hfreco ,0.78,32.5
70,highPtTripletStepClusters ,0.26,12.0
71,highPtTripletStepHitDoublets ,1.29,20.47
72,highPtTripletStepHitTriplets ,0.34,3.5
73,highPtTripletStepSeedClusterMask ,0.25,0.0
74,highPtTripletStepSeedLayers ,0.25,0.0
75,highPtTripletStepSeeds ,0.85,18.24
76,highPtTripletStepSelector ,0.25,0.0
77,highPtTripletStepTrackCandidates ,22.03,38.19
78,highPtTripletStepTrackingRegions ,0.25,0.0
79,highPtTripletStepTracks ,5.3,18.69
80,highPurityPV0p1 ,0.25,0.0
81,highPurityPt1 ,0.25,0.0
82,highPurityPtRange0to1 ,0.25,0.0
83,horeco ,0.27,10.78
84,inclusiveSecondaryVertices ,0.25,0.0
85,inclusiveVertexFinder ,0.25,0.0
86,initialStepHitDoublets ,2.35,18.26
87,initialStepHitQuadruplets ,2.44,16.61
88,initialStepSeedClusterMask ,0.25,0.0
89,initialStepSeedLayers ,10.25,487.63
90,initialStepSeeds ,28.36,349.16
91,initialStepSelector ,0.32,8.63
92,initialStepTrackCandidates ,64.78,49.11
93,initialStepTrackRefsForJets ,0.29,10.0
94,initialStepTrackingRegions ,0.31,9.0
95,initialStepTracks ,37.41,292.96
96,muonCSCDigis ,0.25,0.0
97,muonDTDigis ,0.25,0.0
98,muonGEMDigis ,0.25,0.0
99,muonRPCDigis ,0.25,0.0
100,muonRPCNewDigis ,0.25,0.0
101,offlineBeamSpot ,20.25,987.75
102,offlinePrimaryVertices ,0.28,9.0
103,offlinePrimaryVerticesWithBS ,0.29,8.5
104,primaryVertexResolution ,6.11,22.75
105,pvMonitor ,0.26,12.0
106,quickTrackAssociatorByHits ,0.26,12.0
107,quickTrackAssociatorByHitsPreSplitting ,0.25,0.0
108,raw2digi_step ,0.25,0.0
109,scalersRawToDigi ,0.26,11.75
110,seedTrackshighPtTripletStepSeeds ,0.36,1.0
111,seedTracksinitialStepSeeds ,3.25,15.89
112,selectedOfflinePrimaryVertices ,0.25,0.0
113,selectedOfflinePrimaryVerticesWithBS ,0.25,0.0
114,siPhase2Clusters ,0.41,3.5
115,siPixelClusterShapeCache ,0.81,16.51
116,siPixelClusters ,2.97,20.26
117,siPixelClustersPreSplitting ,13.23,251.79
118,siPixelRecHits ,11.57,341.33
119,siPixelRecHitsPreSplitting ,0.25,0.0
120,simHitTPAssocProducer ,2.96,19.26
121,tpClusterProducer ,7.61,18.49
122,tpClusterProducerPreSplitting ,0.25,0.0
123,trackRefsForJetsBeforeSorting ,0.25,0.0
124,trackValidatorAllTPEfficStandalone ,17.44,27.33
125,trackValidatorBHadronTrackingOnly ,1.92,26.61
126,trackValidatorBuilding ,5.73,21.05
127,trackValidatorBuildingPreSplitting ,0.25,0.0
128,trackValidatorFromPVAllTPStandalone ,12.23,25.11
129,trackValidatorFromPVStandalone ,24.38,40.28
130,trackValidatorSeedingPreSplittingTrackingOnly ,0.25,0.0
131,trackValidatorSeedingTrackingOnly ,16.36,24.99
132,trackValidatorTPPtLess09Standalone ,9.96,21.84
133,trackValidatorTrackingOnly ,40.09,35.35
134,trackVertexArbitrator ,0.25,0.0
135,trackWithVertexRefSelectorBeforeSorting ,0.26,12.0
136,trackerClusterCheck ,0.26,12.0
137,trackingDQMgoodOfflinePrimaryVertices ,0.25,0.0
138,trackingParticleNumberOfLayersProducer ,11.82,70.6
139,trackingParticleRecoTrackAsssociation ,14.22,232.62
140,trackingParticlesBHadron ,285.75,210.2
141,trackingParticlesConversion ,0.25,0.0
