"Source Function / Function / Call Stack","CPU Time","Module","Function (Full)","Source File","Start Address"
"[Outside any known module]","119.231","[Unknown]","[Outside any known module]","[Unknown]","0"
"[TBB Scheduler Internals]","13.8112","[Unknown]","tbb::internal::custom_scheduler<tbb::internal::DefaultSchedulerTraits>::receive_or_steal_task(long&, long)","custom_scheduler.h","0"
"HistoryBase::traceGenHistory","5.88813","[Unknown]","HistoryBase::traceGenHistory(HepMC::GenVertex const*)","HistoryBase.cc","0"
"std::set<HepMC::GenVertex const*, std::less<HepMC::GenVertex const*>, std::allocator<HepMC::GenVertex const*>>::insert","5.48702","[Unknown]","std::set<HepMC::GenVertex const*, std::less<HepMC::GenVertex const*>, std::allocator<HepMC::GenVertex const*>>::insert(HepMC::GenVertex const* const&)","stl_set.h","0"
"HistoryBase::traceSimHistory","4.88292","[Unknown]","HistoryBase::traceSimHistory(edm::Ref<std::vector<TrackingVertex, std::allocator<TrackingVertex>>, TrackingVertex, edm::refhelper::FindUsingAdvance<std::vector<TrackingVertex, std::allocator<TrackingVertex>>, TrackingVertex>> const&, int)","RefTraits.h","0"
"[TBB Scheduler Internals]","4.16652","[Unknown]","tbb::internal::allocate_root_proxy::allocate(unsigned long)","governor.h","0"
"dqm::impl::MonitorElement::accessMut","3.97873","[Unknown]","dqm::impl::MonitorElement::accessMut(void)","MonitorElement.h","0"
"OS_BARESYSCALL_DoCallAsmIntel64Linux","3.30457","[Unknown]","OS_BARESYSCALL_DoCallAsmIntel64Linux","[Unknown]","0"
"DDNameFilter::accept","2.60898","[Unknown]","DDNameFilter::accept(DDExpandedView const&) const","DDDCmsMTDConstruction.cc","0"
"llvm::DWARFDebugInfoEntryMinimal::extractFast","2.47568","[Unknown]","llvm::DWARFDebugInfoEntryMinimal::extractFast(llvm::DWARFUnit const*, unsigned int*)","[Unknown]","0"
"memcmp","2.30656","[Unknown]","memcmp","[Unknown]","0"
"reco::HitPattern::getHitPatternByAbsoluteIndex","1.87589","[Unknown]","reco::HitPattern::getHitPatternByAbsoluteIndex(int) const","HitPattern.cc","0"
"HistoryBase::traceGenHistory","1.8539","[Unknown]","HistoryBase::traceGenHistory(HepMC::GenParticle const*)","HistoryBase.cc","0"
"memmove","1.77409","[Unknown]","memmove","[Unknown]","0"
"std::vector<HepMC::GenParticle*, std::allocator<HepMC::GenParticle*>>::size","1.75423","[Unknown]","std::vector<HepMC::GenParticle*, std::allocator<HepMC::GenParticle*>>::size(void) const","stl_vector.h","0"
"malloc","1.66544","[Unknown]","malloc","jemalloc.c","0"
"func@0x9f10","1.66425","[Unknown]","func@0x9f10","[Unknown]","0"
"std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>::find","1.64872","[Unknown]","std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>::find(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&, unsigned long) const","basic_string.h","0"
"llvm::DWARFUnit::extractDIEsToVector","1.55662","[Unknown]","llvm::DWARFUnit::extractDIEsToVector(bool, bool, std::__1::vector<llvm::DWARFDebugInfoEntryMinimal, std::__1::allocator<llvm::DWARFDebugInfoEntryMinimal>>&) const","[Unknown]","0"
"operator new","1.3132","[Unknown]","operator new(unsigned long)","new.cpp","0"
"llvm::StringMapImpl::LookupBucketFor","1.3115","[Unknown]","llvm::StringMapImpl::LookupBucketFor(llvm::StringRef)","[Unknown]","0"
"ROOT::Math::Rotation3D::operator*","1.28028","[Unknown]","ROOT::Math::Rotation3D::operator*(ROOT::Math::Rotation3D const&) const","Rotation3D.h","0"
"fread","1.21876","[Unknown]","fread","[Unknown]","0"
"free_fastpath","1.1769","[Unknown]","free_fastpath","jemalloc.c","0"
"ROOT::Math::Rotation3D::operator()<ROOT::Math::Cartesian3D<double>, ROOT::Math::DefaultCoordinateSystemTag>","1.16218","[Unknown]","ROOT::Math::DisplacementVector3D<ROOT::Math::Cartesian3D<double>, ROOT::Math::DefaultCoordinateSystemTag> ROOT::Math::Rotation3D::operator()<ROOT::Math::Cartesian3D<double>, ROOT::Math::DefaultCoordinateSystemTag>(ROOT::Math::DisplacementVector3D<ROOT::Math::Cartesian3D<double>, ROOT::Math::DefaultCoordinateSystemTag> const&) const","Rotation3D.h","0"
"edm::ProductRegistry::indexFrom","1.14564","[Unknown]","edm::ProductRegistry::indexFrom(edm::BranchID const&) const","stl_tree.h","0"
"llvm::DataExtractor::getULEB128","1.11516","[Unknown]","llvm::DataExtractor::getULEB128(unsigned int*) const","[Unknown]","0"
